DATE,JTU5100LDL
2000-12-01,23
2001-01-01,70
2001-02-01,42
2001-03-01,21
2001-04-01,55
2001-05-01,37
2001-06-01,55
2001-07-01,45
2001-08-01,45
2001-09-01,47
2001-10-01,62
2001-11-01,65
2001-12-01,42
2002-01-01,83
2002-02-01,31
2002-03-01,38
2002-04-01,60
2002-05-01,34
2002-06-01,48
2002-07-01,46
2002-08-01,39
2002-09-01,30
2002-10-01,44
2002-11-01,47
2002-12-01,30
2003-01-01,68
2003-02-01,48
2003-03-01,41
2003-04-01,34
2003-05-01,36
2003-06-01,47
2003-07-01,42
2003-08-01,41
2003-09-01,36
2003-10-01,41
2003-11-01,33
2003-12-01,36
2004-01-01,51
2004-02-01,35
2004-03-01,36
2004-04-01,30
2004-05-01,27
2004-06-01,42
2004-07-01,25
2004-08-01,24
2004-09-01,41
2004-10-01,35
2004-11-01,18
2004-12-01,17
2005-01-01,42
2005-02-01,15
2005-03-01,24
2005-04-01,19
2005-05-01,21
2005-06-01,19
2005-07-01,41
2005-08-01,36
2005-09-01,27
2005-10-01,30
2005-11-01,41
2005-12-01,27
2006-01-01,40
2006-02-01,47
2006-03-01,25
2006-04-01,35
2006-05-01,16
2006-06-01,21
2006-07-01,26
2006-08-01,26
2006-09-01,20
2006-10-01,35
2006-11-01,33
2006-12-01,34
2007-01-01,64
2007-02-01,43
2007-03-01,25
2007-04-01,21
2007-05-01,24
2007-06-01,23
2007-07-01,39
2007-08-01,40
2007-09-01,24
2007-10-01,23
2007-11-01,18
2007-12-01,23
2008-01-01,40
2008-02-01,21
2008-03-01,32
2008-04-01,23
2008-05-01,14
2008-06-01,32
2008-07-01,21
2008-08-01,19
2008-09-01,36
2008-10-01,55
2008-11-01,41
2008-12-01,47
2009-01-01,57
2009-02-01,36
2009-03-01,36
2009-04-01,39
2009-05-01,31
2009-06-01,32
2009-07-01,52
2009-08-01,31
2009-09-01,26
2009-10-01,42
2009-11-01,32
2009-12-01,50
2010-01-01,55
2010-02-01,22
2010-03-01,22
2010-04-01,19
2010-05-01,26
2010-06-01,21
2010-07-01,31
2010-08-01,23
2010-09-01,28
2010-10-01,23
2010-11-01,22
2010-12-01,34
2011-01-01,37
2011-02-01,19
2011-03-01,27
2011-04-01,17
2011-05-01,20
2011-06-01,22
2011-07-01,27
2011-08-01,18
2011-09-01,20
2011-10-01,22
2011-11-01,22
2011-12-01,29
2012-01-01,35
2012-02-01,26
2012-03-01,26
2012-04-01,24
2012-05-01,21
2012-06-01,18
2012-07-01,22
2012-08-01,33
2012-09-01,24
2012-10-01,18
2012-11-01,20
2012-12-01,21
2013-01-01,32
2013-02-01,21
2013-03-01,11
2013-04-01,24
2013-05-01,25
2013-06-01,40
2013-07-01,48
2013-08-01,50
2013-09-01,44
2013-10-01,42
2013-11-01,23
2013-12-01,45
2014-01-01,59
2014-02-01,47
2014-03-01,43
2014-04-01,38
2014-05-01,26
2014-06-01,28
2014-07-01,49
2014-08-01,23
2014-09-01,33
2014-10-01,38
2014-11-01,38
2014-12-01,32
2015-01-01,43
2015-02-01,24
2015-03-01,28
2015-04-01,38
2015-05-01,23
2015-06-01,31
2015-07-01,27
2015-08-01,24
2015-09-01,25
2015-10-01,29
2015-11-01,32
2015-12-01,20
2016-01-01,39
2016-02-01,25
2016-03-01,22
2016-04-01,33
2016-05-01,28
2016-06-01,28
2016-07-01,29
2016-08-01,22
2016-09-01,15
2016-10-01,19
2016-11-01,27
2016-12-01,19
2017-01-01,41
2017-02-01,19
2017-03-01,27
2017-04-01,30
2017-05-01,37
2017-06-01,42
2017-07-01,26
2017-08-01,29
2017-09-01,42
2017-10-01,38
2017-11-01,24
2017-12-01,43
2018-01-01,58
2018-02-01,30
2018-03-01,32
2018-04-01,37
2018-05-01,30
2018-06-01,41
2018-07-01,28
2018-08-01,33
2018-09-01,37
2018-10-01,21
2018-11-01,24
2018-12-01,40
2019-01-01,52
2019-02-01,31
2019-03-01,32
2019-04-01,38
2019-05-01,35
2019-06-01,33
2019-07-01,58
2019-08-01,35
2019-09-01,35
2019-10-01,33
2019-11-01,28
2019-12-01,54
2020-01-01,40
2020-02-01,26
2020-03-01,188
2020-04-01,170
2020-05-01,34
2020-06-01,44
2020-07-01,21
2020-08-01,27
2020-09-01,19
2020-10-01,31
2020-11-01,26
2020-12-01,36
2021-01-01,35
2021-02-01,21
2021-03-01,23
2021-04-01,26
2021-05-01,28
2021-06-01,38
2021-07-01,25
2021-08-01,30
2021-09-01,41
2021-10-01,29
2021-11-01,26
2021-12-01,45
2022-01-01,84
2022-02-01,10
2022-03-01,17
2022-04-01,27
2022-05-01,27
2022-06-01,35
2022-07-01,32
2022-08-01,39
2022-09-01,27
2022-10-01,47
2022-11-01,38
2022-12-01,48
